id,collection,dspace.entity.type,dc.title[en],dc.title[fr]
+,123456789s/20,Publisher,Canada Department of Mines,Canada Ministère des mines
+,123456789s/20,Publisher,Canada Department of Mines and Resources,Canada Ministère des mines et des ressources
+,123456789s/20,Publisher,Canada Department of Mines and Technical Surveys,Canada Ministère des mines et des relevés techniques
+,123456789s/20,Publisher,"Department of Energy, Mines and Resources Canada","Ministère de l'énergie, des mines et des ressources Canada"
+,123456789s/20,Publisher,Natural Resources Canada,Ressources naturelles Canada
+,123456789s/20,Publisher,Geological Survey of Canada,Commission géologique du Canada
+,123456789s/20,Publisher,Geomatics Canada,Géomatiques Canada
+,123456789s/20,Publisher,National Air Photo Library,Photothèque nationale de l'air
+,123456789s/20,Publisher,Centre for Topographic Information,Centre d'information topographique
+,123456789s/20,Publisher,International Boundary Commission,Commission de la frontière internationale
+,123456789s/20,Publisher,Canada Surveys and Mapping Branch,Canada Direction des levés et de la cartographie
+,123456789s/20,Publisher,"Canada Surveys, Mapping and Remote Sensing Branch","Canada Direction des levés, de la cartographie et de la télédétection"
+,123456789s/20,Publisher,Canada Department of the Interior,Canada Ministère de l'Intérieur
+,123456789s/20,Publisher,Canada Centre for Mapping,Centre canadien de cartographie
+,123456789s/20,Publisher,Canadian Forest Service,Service canadien des forêts
+,123456789s/20,Publisher,Canadian Hydrographic Service,Service hydrographique du Canada
+,123456789s/20,Publisher,Canada Map Office,Bureau des cartes du Canada
+,123456789s/20,Publisher,Canada Surveys and Mapping Bureau,Bureau canadien des levés et de la cartographie
+,123456789s/20,Publisher,Earth Physics Branch,Direction de la physique du globe
+,123456789s/20,Publisher,GeoConnections,GéoConnexions
+,123456789s/20,Publisher,Geodetic Survey Division,Division des levés géodésiques
+,123456789s/20,Publisher,National Energy Board,Office national de l'énergie
+,123456789s/20,Publisher,Office of Energy Efficiency,L'Office de l'efficacité énergétique
+,123456789s/20,Publisher,Polar Continental Shelf Program,Programme du plateau continental polaire
+,123456789s/20,Publisher,Topographical Survey,Levés topographiques
+,123456789s/20,Publisher,International Waterways Commission,Commission des voies d'eau internationales
+,123456789s/20,Publisher,Dominion Observatory,L'observatoire du Dominion
+,123456789s/20,Publisher,Canadian Geoscience Council,Le Conseil Canadien des sciences
+,123456789s/20,Publisher,Geological Survey Branch,Direction de la commission géologique
+,123456789s/20,Publisher,Minerals and Metals Sector,Secteur des minéraux et des métaux
+,123456789s/20,Publisher,Canada Bureau of Mines,Bureau canadien des mines
+,123456789s/20,Publisher,Canadian Geotechnical Society,La Société canadienne de géotechnique
+,123456789s/20,Publisher,National Museum of Canada,Musée national du Canada
+,123456789s/20,Publisher,Geological and Natural History Survey of Canada,Commission de géologie et d'histoire naturelle du Canada
+,123456789s/20,Publisher,Canada Centre for Remote Sensing,Centre canadien de télédétection
+,123456789s/20,Publisher,Canada-Nunavut Geoscience Office,Bureau géoscientifique Canada-Nunavut
+,123456789s/20,Publisher,Canadian Quaternary Association,Association canadienne pour l'étude du Quaternaire
+,123456789s/20,Publisher,Geological Association of Canada,Association géologique du Canada
+,123456789s/20,Publisher,Mineralogical Association of Canada,Association minéralogique du Canada
+,123456789s/20,Publisher,Government of Canada,Gouvernement du Canada
+,123456789s/20,Publisher,Canada Mines Branch,Canada Division des mines
+,123456789s/20,Publisher,"Energy, Mines and Resources Canada","Énergie, Mines et Ressources Canada"
+,123456789s/20,Publisher,"Canada Department of Energy, Mines and Resources","Canada Ministère de l'Énergie, Mines et Ressources"
+,123456789s/20,Publisher,Canada Centre for Mapping and Earth Observation,Centre canadien de cartographie et d'observation de la Terre
+,123456789s/20,Publisher,Lands and Minerals Sector,Secteur des terres et des minéraux
+,123456789s/20,Publisher,Geographical Names Board of Canada,Commission de toponymie du Canada
+,123456789s/20,Publisher,Atlas of Canada,L'Atlas du Canada
+,123456789s/20,Publisher,Canada Centre for Mineral and Energy Technology,Centre canadien de la technologie des minéraux et de l'énergie
+,123456789s/20,Publisher,Natural Resources and Energy New Brunswick,Ressources naturelles et Énergie Nouveau-Brunswick
+,123456789s/20,Publisher,"Forests, Mines and Energy New Brunswick","Forêts, Mines et Énergie Nouveau-Brunswick"
+,123456789s/20,Publisher,Energy Research Laboratories,Laboratoires de recherche sur l'énergie
+,123456789s/20,Publisher,Public Safety Canada,Sécurité publique Canada
+,123456789s/20,Publisher,National Museums of Canada,Musées nationaux du Canada
+,123456789s/20,Publisher,Canada Surveyor General Branch,Canada Direction de l'arpenteur général
+,123456789s/20,Publisher,Makivik Corporation,Société Makivik
+,123456789s/20,Publisher,Fraser Basin Council,Conseil du bassin versant du Fleuve Fraser
+,123456789s/20,Publisher,Nova Scotia Geomatics Centre,Centre de géomatique de la Nouvelle-Écosse
+,123456789s/20,Publisher,Service Nova Scotia and Municipal Relations,Services Nouvelle-Écosse et relations avec les municipalités
+,123456789s/20,Publisher,"Yukon Energy, Mines and Resources","Yukon Énergie, Mines et Ressources"
+,123456789s/20,Publisher,Indian and Northern Affairs Canada,Affaires indiennes et du Nord Canada
+,123456789s/20,Publisher,Atomic Energy of Canada Limited,Énergie atomique du Canada limitée
+,123456789s/20,Publisher,National GEOSCAN Centre,Centre national pour GEOSCAN
+,123456789s/20,Publisher,Canada Department of Fisheries and Oceans,Canada Ministère des Pêches et des Océans
+,123456789s/20,Publisher,Government of Yukon,Gouvernement du Yukon
+,123456789s/20,Publisher,Atlantic Geoscience Society,Société géoscientifique de l'Atlantique
+,123456789s/20,Publisher,Northwest Territories Geological Survey,Commission géologique des Territoires du Nord-Ouest
+,123456789s/20,Publisher,Geographical Names Board of Canada Secretariat,Secrétariat de la Commission de toponymie du Canada
+,123456789s/20,Publisher,"Energy Sector, Natural Resources Canada","Secteur de l'énergie, Ressources naturelles Canada"
+,123456789s/20,Publisher,Government of Ontario,Gouvernement de l'Ontario
+,123456789s/20,Publisher,Industrial Energy Division,Division de l'énergie industrielle
+,123456789s/20,Publisher,International Union of Radio Science,Union radio-scientifique internationale
+,123456789s/20,Publisher,Polar Knowledge Canada,Savoir polaire Canada
+,123456789s/20,Publisher,Canadian Science Publishing,Éditions Sciences Canada
+,123456789s/20,Publisher,Explosives Regulatory Division,Division de la réglementation des explosifs
+,123456789s/20,Publisher,Canadian Industry Program for Energy Conservation,Programme d'économie d'énergie dans l'industrie canadienne
+,123456789s/20,Publisher,Canadian Industry Partnership for Energy Conservation,Partenariat d'économie d'énergie dans l'industrie canadienne
+,123456789s/20,Publisher,GeoAccess Division,Division GéoAccès
+,123456789s/20,Publisher,Strategic Policy Sector,Secteur des politiques stratégiques
+,123456789s/20,Publisher,National Research Council Canada,Conseil national de recherches Canada
+,123456789s/20,Publisher,Government of Northwest Territories,Gouvernement des Territoires du Nord-Ouest
+,123456789s/20,Publisher,Canadian National Committee for the International Union of Geodesy and Geophysics,Comité national canadien pour l'Union géodésique et géophysique internationale
+,123456789s/20,Publisher,Canadian Permanent Committee on Geographical Names,Comité permanent canadien des noms géographiques
+,123456789s/20,Publisher,Agriculture and Agri-Food Canada,Agriculture et agroalimentaire Canada
+,123456789s/20,Publisher,Canadian Fertilizers Institute,Institut canadien des engrais
+,123456789s/20,Publisher,Mining Association of Canada,L'association minière du Canada
+,123456789s/20,Publisher,Insurance Bureau of Canada,Bureau d'assurance du Canada
+,123456789s/20,Publisher,Simon Fraser University,L'Université Simon Fraser
+,123456789s/20,Publisher,Sustainable Prosperity,La Prospérité durable
+,123456789s/20,Publisher,University of Prince Edward Island,L'Université de l'Île du Prince-Édouard
+,123456789s/20,Publisher,University of Moncton,L'Université de Moncton
+,123456789s/20,Publisher,Atlantic Coastal Zone Information Steering Committee,Le Comité consultatif de l'information sur les zones côtières de l'Atlantique
+,123456789s/20,Publisher,Memorial University of Newfoundland,L'Université Memorial de Terre-Neuve
+,123456789s/20,Publisher,City of Vancouver,Ville de Vancouver
+,123456789s/20,Publisher,"Government of British Columbia, Ministry of Transportation and Infrastructure","Gouvernement de la Colombie-Britannique, Ministère des transports et de l'infrastructure"
+,123456789s/20,Publisher,"Government of British Columbia, Ministry of Environment and Climate Change Strategy","Gouvernement de la Colombie-Britannique, Ministère de l'Environnement et stratégie contre changements climatiques"
+,123456789s/20,Publisher,"Capital Regional District, Victoria","District régional de la capitale, Victoria"
+,123456789s/20,Publisher,Rubber Association of Canada,Association canadienne de l'industrie du caoutchouc
+,123456789s/20,Publisher,Canada Geographical Branch,Canada Direction de la géographie
+,123456789s/20,Publisher,Aluminium Association of Canada,Association de l'aluminium du Canada
+,123456789s/20,Publisher,Energy and Mines Ministers' Conference,Conférence des ministres de l'Énergie et des Mines
+,123456789s/20,Publisher,CANMET Mining and Mineral Sciences Laboratories,Laboratoires des mines et des sciences minérales de CANMET
+,123456789s/20,Publisher,CanmetMATERIALS,CanmetMATÉRIAUX
+,123456789s/20,Publisher,CanmetMINING,CanmetMINES
+,123456789s/20,Publisher,CanmetENERGY,CanmetÉNERGIE
+,123456789s/20,Publisher,United Nations and geographical names participants,Participants des Nations Unies et les noms géographiques
+,123456789s/20,Publisher,CPCGN Secretariat,Secrétariat du CPCNG
+,123456789s/20,Publisher,Canada Mapping and Charting Establishment,Service de la cartographie du Canada
+,123456789s/20,Publisher,Department of National Defence,Ministère de la Défense nationale
+,123456789s/20,Publisher,Canadian Space Weather Forecast Centre,Centre canadien de météo spatiale
+,123456789s/20,Publisher,"Surveys, Mapping and Remote Sensing Sector","Secteur des levés, de la cartographie et de la télédétection"
+,123456789s/20,Publisher,"Geological Services, Department of Natural Resources, Province of Quebec","Services géologiques, Ministère des Richesses naturelles, Province du Québec"
+,123456789s/20,Publisher,"Canada Division of Geomagnetism, Earth Physics Branch","Canada Division du géomagnétisme, Direction de la physique du globe"
+,123456789s/20,Publisher,Earth Sciences Sector,Secteur des sciences de la Terre
+,123456789s/20,Publisher,Terrain Sciences Division,Division de la science des terrains
+,123456789s/20,Publisher,Canadian Radiation Protection Association,Association canadienne de radioprotection
+,123456789s/20,Publisher,Coastal Zone Canada Association,Association zone côtière Canada
+,123456789s/20,Publisher,Canadian Coastal Science and Engineering Association,Association canadienne pour la science et le génie du littoral
+,123456789s/20,Publisher,International Council for the Exploration of the Sea,Conseil International pour l'Exploration de la Mer
+,123456789s/20,Publisher,Canadian Association for Earthquake Engineering,Association canadienne du génie parasismique
+,123456789s/20,Publisher,Canadian Geomorphology Research Group,Groupe Canadien de Recherche en Géomorphologie
+,123456789s/20,Publisher,Canadian Society of Soil Science,Société Canadienne de la Science du Sol
+,123456789s/20,Publisher,Canadian Remote Sensing Society,Société canadienne de télédétection
+,123456789s/20,Publisher,Environment Canada,Environnement Canada
+,123456789s/20,Publisher,Geodetic Survey of Canada,Levés géodésiques du Canada
+,123456789s/20,Publisher,Quebec Mineral Exploration Association,Association de l'exploration minière du Québec
+,123456789s/20,Publisher,Parks Canada,Parcs Canada
+,123456789s/20,Publisher,Canada Policy Research Initiative,Canada Projet de recherche sur les politiques
+,123456789s/20,Publisher,Canada Army Survey Establishment,Canada Service topographique de l'armée
+,123456789s/20,Publisher,Meteorological Service of Canada,Service météorologique du Canada
+,123456789s/20,Publisher,National Water Research Institute,Institut national de recherche sur les eaux
+,123456789s/20,Publisher,Climate Change Impacts and Adaptation Division,Division des impacts et de l'adaptation liés aux changements climatiques
+,123456789s/20,Publisher,Canada Geographical Names Section,Canada Noms géographiques
+,123456789s/20,Publisher,NRCan Science and Technology Secretariat,Secrétariat des Sciences et Technologies de RNCan
+,123456789s/20,Publisher,CanmetENERGY Technology Centre-Varennes,Centre de la technologie du CanmetÉNERGIE - Varennes
+,123456789s/20,Publisher,Canada Energy Regulator,Régie de l'énergie du Canada
+,123456789s/20,Publisher,Canada Mining Sector,Canada Secteur minier
+,123456789s/20,Publisher,Atlantic Climate Adaptation Solutions Association,Solutions d'adaptation aux changements climatiques pour l'Atlantique
+,123456789s/20,Publisher,"Treaty, Lands and Resources Department - Tsleil-Waututh Nation","Ministère des Traités, des Terres et des Ressources - Nation Tsleil-Waututh"
+,123456789s/20,Publisher,Fisheries and Oceans Canada,Pêches et Océans Canada
+,123456789s/20,Publisher,Canada Energy Advisory Service,Canada Service consultative sur l'Énergie
+,123456789s/20,Publisher,Office of Energy Research and Development,Bureau de la recherche et du développement énergétiques
+,123456789s/20,Publisher,"Province of Quebec, Department of Natural Resources","Province de Québec, Ministère des Richesses naturelles"
+,123456789s/20,Publisher,Polar Continental Shelf Project,Étude du plateau continental polaire
+,123456789s/20,Publisher,Canada Centre for Geomatics,Centre canadien de géomatique
+,123456789s/20,Publisher,Environment and Climate Change Canada,Environnement et Changement climatique Canada
+,123456789s/20,Publisher,National Geological Surveys Committee,Comité national des commissions géologiques
+,123456789s/20,Publisher,Inter-Agency Committee on Geomatics,Le Comité mixte des organismes intéressés à la géomatique
+,123456789s/20,Publisher,National Collaborating Centre for Indigenous Health,Centre de collaboration nationale de la santé autochtone
+,123456789s/20,Publisher,Health Canada,Santé Canada
+,123456789s/20,Publisher,Ontario Ministry of Transportation,Ministère des Transports de l'Ontario
+,123456789s/20,Publisher,Canadian Geodetic Survey,Levés géodésiques du Canada
+,123456789s/20,Publisher,Canadian Geodetic Reference System Committee,Comité canadien du système de référence géodésique
+,123456789s/20,Publisher,New Brunswick Environmental Network,Réseau environnemental du Nouveau-Brunswick
+,123456789s/20,Publisher,New Brunswick Federation of Woodlot Owners,Fédération des propriétaires de lots boisés du Nouveau-Brunswick
+,123456789s/20,Publisher,Canada Geophysics Division,Canada Division de la géophysique
+,123456789s/20,Publisher,Canadian Committee for Geography,Comité canadien de géographie
+,123456789s/20,Publisher,External Affairs and International Trade Canada,Affaires extérieures et Commerce international Canada
+,123456789s/20,Publisher,Pulp and Paper Technical Association of Canada,Association technique des pâtes et papiers du Canada
+,123456789s/20,Publisher,Organisation for Economic Co-operation and Development,Organisation de cooperation et de développement économiques
+,123456789s/20,Publisher,Northern Hardwoods Research Institute Inc.,Institut de recherche sur les feuillus nordiques Inc.
+,123456789s/20,Publisher,Northwest Regional Service Commission,Commission de services régionaux Nord-Ouest
+,123456789s/20,Publisher,Chartered Professional Accountants Canada,Comptables professionnels agréés Canada
+,123456789s/20,Publisher,Canadian Electricity Association,Association canadienne de l'électricité
